更新时间,#genre#
2026/05/12 18:34,http://127.0.0.1

央视频道,#genre#
CCTV-6,http://112.109.206.238:9999/rtp/239.255.40.175:8208
CCTV-7,http://223.167.230.73:4022/rtp/239.45.3.56:5140
CCTV-7,http://114.254.35.180:8888/rtp/239.3.1.61:8104
CCTV-7,http://114.254.36.134:8888/rtp/239.3.1.61:8104
CCTV-7,http://114.254.84.173:8888/rtp/239.3.1.61:8104
CCTV-7,http://171.8.168.12:8800/rtp/239.16.20.51:10510
CCTV-7,http://171.8.84.114:8800/rtp/239.16.20.51:10510
CCTV-7,http://112.192.72.187:8484/rtp/239.0.0.16:5140
CCTV-7,http://220.167.170.155:4000/rtp/239.120.1.224:9490
CCTV-7,http://115.171.216.26:4000/rtp/225.1.8.7:8104
CCTV-7,http://115.171.216.46:4000/rtp/225.1.8.7:8104
CCTV-7,http://112.19.88.97:8899/rtp/239.11.0.110:5140
CCTV-7,http://183.220.20.17:4321/rtp/239.11.0.110:5140
CCTV-7,http://106.59.2.72:55555/udp/239.200.200.105:8104
CCTV-7,http://219.156.112.83:4022/rtp/225.1.4.76:1105
CCTV-7,http://220.172.21.89:4022/rtp/238.255.2.12:5999
CCTV-7,http://220.172.23.183:4022/rtp/238.255.2.12:5999
CCTV-7,http://61.159.134.150:8188/rtp/238.255.2.12:5999
CCTV-7,http://121.29.215.217:2083/rtp/239.253.92.194:6059
CCTV-7,http://60.4.28.155:8077/rtp/239.253.92.194:6059
CCTV-7,http://111.196.132.71:20000/rtp/239.3.1.61:8104
CCTV-7,http://123.118.53.151:8686/rtp/239.3.1.61:8104
CCTV-7,http://123.118.53.173:8686/rtp/239.3.1.61:8104
CCTV-7,http://221.220.133.100:8012/rtp/239.3.1.61:8104
CCTV-7,http://112.109.206.238:9999/rtp/239.255.40.37:8208
CCTV-8,http://223.167.230.73:4022/rtp/239.45.1.71:5140
CCTV-8,http://114.254.35.180:8888/rtp/239.3.1.175:8001
CCTV-8,http://114.254.36.134:8888/rtp/239.3.1.175:8001
CCTV-8,http://114.254.84.173:8888/rtp/239.3.1.175:8001
CCTV-8,http://171.8.168.12:8800/rtp/239.16.20.8:10080
CCTV-8,http://171.8.84.114:8800/rtp/239.16.20.8:10080
CCTV-8,http://112.192.72.187:8484/rtp/239.0.0.17:5140
CCTV-8,http://220.167.170.155:4000/rtp/239.120.1.50:8308
CCTV-8,http://115.171.216.26:4000/rtp/225.1.8.85:8000
CCTV-8,http://115.171.216.46:4000/rtp/225.1.8.85:8000
CCTV-8,http://112.19.88.97:8899/rtp/239.11.0.103:5140
